group,user
2420432558248826,100031576629001
2420432558248826,100042314913409
2420432558248826,100011628608561
2420432558248826,100059486942214
2420432558248826,100091935277171
2420432558248826,100023920383706
2420432558248826,100001823239175
2420432558248826,100032007128733
2420432558248826,100095105304380
2420432558248826,61550565004498
2420432558248826,100010583868187
2420432558248826,61550241075905
2420432558248826,100095089405829
2420432558248826,61550058947351
2420432558248826,100088561995366
2420432558248826,100094204965047
2420432558248826,100038599058706
2420432558248826,100056177654961
2420432558248826,100013276967575
2420432558248826,100036281118845
2420432558248826,100093273646054
2420432558248826,61550851400165
2420432558248826,100082503698474
2420432558248826,100094493692539
2420432558248826,61550186679776
2420432558248826,61550601002379
2420432558248826,100014954406259
2420432558248826,100092073896616
2420432558248826,61550542206512
2420432558248826,100092162563107
2420432558248826,100092090915760
2420432558248826,100090094317410
2420432558248826,100080636405976
2420432558248826,100080377698076
2420432558248826,100089687431648
2420432558248826,100092984442030
2420432558248826,100084039278000
2420432558248826,61550306256772
2420432558248826,61550272178511
2420432558248826,100093002771936
2420432558248826,100049503094818
2420432558248826,61550526354149
2420432558248826,61550281441539
2420432558248826,100087773059223
2420432558248826,100066897366132
2420432558248826,100074665011636
2420432558248826,100077193835858
2420432558248826,100059603541794
2420432558248826,100088135397128
2420432558248826,100007904193502
2420432558248826,61550481694178
2420432558248826,100003473542447
2420432558248826,100085508673710
2420432558248826,100095307464239
2420432558248826,100090139819184
2420432558248826,61550517028184
2420432558248826,100094593973072
2420432558248826,61550363402464
2420432558248826,61550601051808
2420432558248826,100088360170802
2420432558248826,100082337181785
2420432558248826,100045518932699
2420432558248826,100064511739902
2420432558248826,100091267235765
2420432558248826,100087707966957
2420432558248826,100075779126488
2420432558248826,100091585790878
2420432558248826,100095252881106
2420432558248826,61550306307777
2420432558248826,100048496176182
2420432558248826,100092320662679
2420432558248826,100079553980472
2420432558248826,100010112640083
2420432558248826,100084488989458
2420432558248826,100083357448186
2420432558248826,100023889172217
2420432558248826,100083194603500
2420432558248826,100003937187673
2420432558248826,100088577221885
2420432558248826,100092747025588
2420432558248826,100091770537333
2420432558248826,100063674486190
2420432558248826,100024470019297
2420432558248826,100095465407866
2420432558248826,100090054240812
2420432558248826,100070623563858
2420432558248826,100083735836419
2420432558248826,100067378941953
2420432558248826,100011444019425
2420432558248826,100095278491141
2420432558248826,100061505995214
2420432558248826,100089713382448
2420432558248826,100095475840470
2420432558248826,100095129607829
2420432558248826,100095070745862
2420432558248826,100095036720086
2420432558248826,100092274272669
2420432558248826,100093970047025
2420432558248826,100069795618212
2420432558248826,100095203989241
2420432558248826,100094688539516
2420432558248826,100073603685587
2420432558248826,100072464640867
2420432558248826,100053251890200
2420432558248826,100000270967701
2420432558248826,100092988489582
2420432558248826,100094314757400
2420432558248826,100005311951828
2420432558248826,100094979643376
2420432558248826,100092182077544
2420432558248826,100093485326179
2420432558248826,100066339405216
2420432558248826,100088532146390
2420432558248826,100092676883976
2420432558248826,100081069194923
2420432558248826,100088677684829
2420432558248826,100022994077040
2420432558248826,100092003973551
2420432558248826,100074022063271
2420432558248826,100034663291746
2420432558248826,100094533662497
2420432558248826,100015134501937
2420432558248826,100082314207456
2420432558248826,100066621048427
2420432558248826,100000341148265
2420432558248826,100086279418039
2420432558248826,100093658390320
2420432558248826,100088401385119
2420432558248826,100008761712635
2420432558248826,100094517772792
2420432558248826,100082696269128
2420432558248826,100085854206687
2420432558248826,100032838676976
2420432558248826,100094225430820
2420432558248826,100077692550419
2420432558248826,100002863071925
2420432558248826,100093628886043
2420432558248826,100081924147895
2420432558248826,100006015511791
2420432558248826,100087102867580
2420432558248826,100094332872237
2420432558248826,100038814502865
2420432558248826,100062438113584
2420432558248826,100093348872264
2420432558248826,100041179576194
2420432558248826,100057478688073
2420432558248826,100056882090480
2420432558248826,100083678952213
2420432558248826,100084810566264
2420432558248826,100025634436141
